Test,run,rcoil_coff,zone_capacitance_value,r_value,r_ceil,surface_area,bronze_thermal_mass_layer_thickness,plenum_surface_area,plenum_thickness,mixing_flowrate
8,12221,0.75,21.0,0.038,0.054,0.02,0.04,0.03,0.11,0.003
8,9647,0.75,21.0,0.038,0.054,0.02,0.12,0.03,0.05,0.003
8,14597,0.75,21.0,0.038,0.054,0.02,0.06,0.03,0.11,0.003
8,9713,0.75,21.0,0.038,0.054,0.02,0.12,0.03,0.07,0.003
8,7337,0.75,21.0,0.038,0.054,0.02,0.1,0.03,0.07,0.003
8,2651,0.75,21.0,0.038,0.054,0.02,0.06,0.03,0.09,0.003
8,5027,0.75,21.0,0.038,0.054,0.02,0.08,0.03,0.09,0.003
8,7524,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.01,0.003
8,4961,0.75,21.0,0.038,0.054,0.02,0.08,0.03,0.07,0.003
8,33594,0.75,21.0,0.038,0.054,0.02,0.12,0.01,0.11,0.003
8,275,0.75,21.0,0.038,0.054,0.02,0.04,0.03,0.09,0.003
8,31031,0.75,21.0,0.038,0.054,0.02,0.1,0.03,0.05,0.003
8,31163,0.75,21.0,0.038,0.054,0.02,0.1,0.03,0.09,0.003
8,9900,0.75,21.0,0.038,0.054,0.04,0.12,0.01,0.01,0.003
8,5093,0.75,21.0,0.038,0.054,0.02,0.08,0.03,0.11,0.003
8,33352,0.75,21.0,0.038,0.054,0.02,0.12,0.05,0.03,0.003
8,19470,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.03,0.003
8,7535,0.75,21.0,0.038,0.054,0.04,0.1,0.03,0.01,0.003
8,21648,0.75,21.0,0.038,0.054,0.02,0.12,0.01,0.09,0.003
8,29106,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.07,0.003
8,5412,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.09,0.003
8,17160,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.05,0.003
8,26345,0.75,21.0,0.038,0.054,0.02,0.06,0.03,0.07,0.003
8,5478,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.11,0.003
8,21659,0.75,21.0,0.038,0.054,0.02,0.12,0.03,0.09,0.003
8,9581,0.75,21.0,0.038,0.054,0.02,0.12,0.03,0.03,0.003
8,17094,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.03,0.003
8,14982,0.75,21.0,0.038,0.054,0.04,0.06,0.01,0.11,0.003
8,7656,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.05,0.003
8,28908,0.75,21.0,0.038,0.054,0.04,0.08,0.01,0.01,0.003
8,28919,0.75,21.0,0.038,0.054,0.04,0.08,0.03,0.01,0.003
8,7216,0.75,21.0,0.038,0.054,0.02,0.1,0.05,0.03,0.003
8,21846,0.75,21.0,0.038,0.054,0.04,0.12,0.01,0.03,0.003
8,23980,0.75,21.0,0.038,0.054,0.02,0.04,0.05,0.07,0.003
8,19349,0.75,21.0,0.038,0.054,0.02,0.1,0.03,0.11,0.003
8,3036,0.75,21.0,0.038,0.054,0.04,0.06,0.01,0.09,0.003
8,9559,0.75,21.0,0.038,0.054,0.02,0.12,0.11,0.01,0.003
8,19602,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.07,0.003
8,21428,0.75,21.0,0.038,0.054,0.02,0.12,0.09,0.01,0.003
8,16775,0.75,21.0,0.038,0.054,0.02,0.08,0.03,0.05,0.003
8,21791,0.75,21.0,0.038,0.054,0.04,0.12,0.03,0.01,0.003
8,19338,0.75,21.0,0.038,0.054,0.02,0.1,0.01,0.11,0.003
8,9702,0.75,21.0,0.038,0.054,0.02,0.12,0.01,0.07,0.003
8,24431,0.75,21.0,0.038,0.054,0.04,0.04,0.03,0.09,0.003
8,17050,0.75,21.0,0.038,0.054,0.04,0.08,0.05,0.01,0.003
8,2530,0.75,21.0,0.038,0.054,0.02,0.06,0.05,0.05,0.003
8,24365,0.75,21.0,0.038,0.054,0.04,0.04,0.03,0.07,0.003
8,7546,0.75,21.0,0.038,0.054,0.04,0.1,0.05,0.01,0.003
8,16786,0.75,21.0,0.038,0.054,0.02,0.08,0.05,0.05,0.003
8,69234,0.8,21.0,0.038,0.054,0.02,0.12,0.01,0.11,0.003
8,12034,0.75,21.0,0.038,0.054,0.02,0.04,0.05,0.05,0.003
8,31548,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.09,0.003
8,2970,0.75,21.0,0.038,0.054,0.04,0.06,0.01,0.07,0.003
8,21417,0.75,21.0,0.038,0.054,0.02,0.12,0.07,0.01,0.003
8,12617,0.75,21.0,0.038,0.054,0.04,0.04,0.03,0.11,0.003
8,7282,0.75,21.0,0.038,0.054,0.02,0.1,0.05,0.05,0.003
8,57288,0.8,21.0,0.038,0.054,0.02,0.12,0.01,0.09,0.003
8,33792,0.75,21.0,0.038,0.054,0.04,0.12,0.01,0.05,0.003
8,12089,0.75,21.0,0.038,0.054,0.02,0.04,0.03,0.07,0.003
8,9845,0.75,21.0,0.038,0.054,0.02,0.12,0.03,0.11,0.003
8,13002,0.75,21.0,0.038,0.054,0.06,0.04,0.01,0.11,0.003
8,17105,0.75,21.0,0.038,0.054,0.04,0.08,0.03,0.03,0.003
8,7392,0.75,21.0,0.038,0.054,0.02,0.1,0.01,0.09,0.003
8,28600,0.75,21.0,0.038,0.054,0.02,0.08,0.05,0.03,0.003
8,19734,0.75,21.0,0.038,0.054,0.04,0.1,0.01,0.11,0.003
8,17061,0.75,21.0,0.038,0.054,0.04,0.08,0.07,0.01,0.003
8,9603,0.75,21.0,0.038,0.054,0.02,0.12,0.07,0.03,0.003
8,7205,0.75,21.0,0.038,0.054,0.02,0.1,0.03,0.03,0.003
8,19107,0.75,21.0,0.038,0.054,0.02,0.1,0.07,0.03,0.003
8,21538,0.75,21.0,0.038,0.054,0.02,0.12,0.05,0.05,0.003
8,59741,0.8,21.0,0.038,0.054,0.02,0.04,0.03,0.11,0.003
8,28611,0.75,21.0,0.038,0.054,0.02,0.08,0.07,0.03,0.003
8,26675,0.75,21.0,0.038,0.054,0.04,0.06,0.03,0.05,0.003
8,14729,0.75,21.0,0.038,0.054,0.04,0.06,0.03,0.03,0.003
8,19063,0.75,21.0,0.038,0.054,0.02,0.1,0.11,0.01,0.003
8,45221,0.8,21.0,0.038,0.054,0.02,0.12,0.03,0.03,0.003
8,33396,0.75,21.0,0.038,0.054,0.02,0.12,0.01,0.05,0.003
8,57222,0.8,21.0,0.038,0.054,0.02,0.12,0.01,0.07,0.003
8,45287,0.8,21.0,0.038,0.054,0.02,0.12,0.03,0.05,0.003
8,14784,0.75,21.0,0.038,0.054,0.04,0.06,0.01,0.05,0.003
8,1056,0.75,21.0,0.038,0.054,0.06,0.04,0.01,0.09,0.003
8,2596,0.75,21.0,0.038,0.054,0.02,0.06,0.05,0.07,0.003
8,54978,0.8,21.0,0.038,0.054,0.02,0.1,0.01,0.11,0.003
8,47795,0.8,21.0,0.038,0.054,0.02,0.04,0.03,0.09,0.003
8,33286,0.75,21.0,0.038,0.054,0.02,0.12,0.05,0.01,0.003
8,15048,0.75,21.0,0.038,0.054,0.06,0.06,0.01,0.01,0.003
8,21802,0.75,21.0,0.038,0.054,0.04,0.12,0.05,0.01,0.003
8,12419,0.75,21.0,0.038,0.054,0.04,0.04,0.03,0.05,0.003
8,54791,0.8,21.0,0.038,0.054,0.02,0.1,0.03,0.05,0.003
8,7557,0.75,21.0,0.038,0.054,0.04,0.1,0.07,0.01,0.003
8,7172,0.75,21.0,0.038,0.054,0.02,0.1,0.09,0.01,0.003
8,10098,0.75,21.0,0.038,0.054,0.04,0.12,0.01,0.07,0.003
8,24046,0.75,21.0,0.038,0.054,0.02,0.04,0.05,0.09,0.003
8,50171,0.8,21.0,0.038,0.054,0.02,0.06,0.03,0.09,0.003
8,2475,0.75,21.0,0.038,0.054,0.02,0.06,0.07,0.03,0.003
8,55044,0.8,21.0,0.038,0.054,0.04,0.1,0.01,0.01,0.003
8,64361,0.8,21.0,0.038,0.054,0.02,0.08,0.03,0.07,0.003
8,54912,0.8,21.0,0.038,0.054,0.02,0.1,0.01,0.09,0.003
8,24750,0.75,21.0,0.038,0.054,0.06,0.04,0.01,0.07,0.003
8,2519,0.75,21.0,0.038,0.054,0.02,0.06,0.03,0.05,0.003
